epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
138,2488.78,1.01384,0.97796,1.01005,0.50918,0.63938,0.58204,0.26718,2.12056,2.24379,2.04353,0.000402312,0.000402312,0.000402312
139,2506.73,0.93863,0.90499,1.01845,0.50918,0.63938,0.58204,0.26718,2.12056,2.24379,2.04353,0.000396125,0.000396125,0.000396125
140,2524.76,0.90808,0.92713,1.00185,0.51959,0.58604,0.59349,0.28968,2.07224,2.24343,2.03762,0.000389938,0.000389938,0.000389938
141,2542.65,0.96716,0.93184,0.99315,0.51959,0.58604,0.59349,0.28968,2.07224,2.24343,2.03762,0.00038375,0.00038375,0.00038375
142,2560.55,0.93142,0.86757,0.96224,0.51959,0.58604,0.59349,0.28968,2.07224,2.24343,2.03762,0.000377563,0.000377563,0.000377563
143,2578.57,0.90104,0.91321,0.94546,0.51959,0.58604,0.59349,0.28968,2.07224,2.24343,2.03762,0.000371375,0.000371375,0.000371375
144,2597.17,0.92362,0.88028,0.96697,0.82223,0.53349,0.6131,0.31691,2.01638,2.20247,2.02153,0.000365188,0.000365188,0.000365188
145,2615.13,0.91877,0.90803,0.98447,0.82223,0.53349,0.6131,0.31691,2.01638,2.20247,2.02153,0.000359,0.000359,0.000359
146,2633.05,0.87958,0.91285,0.99179,0.82223,0.53349,0.6131,0.31691,2.01638,2.20247,2.02153,0.000352812,0.000352812,0.000352812
147,2651.06,0.81629,0.83126,0.95061,0.82223,0.53349,0.6131,0.31691,2.01638,2.20247,2.02153,0.000346625,0.000346625,0.000346625
148,2669.05,0.87153,0.90853,0.99004,0.81343,0.59469,0.61288,0.33068,1.96968,2.1539,1.9908,0.000340438,0.000340438,0.000340438
149,2687.13,0.81611,0.80173,0.93678,0.81343,0.59469,0.61288,0.33068,1.96968,2.1539,1.9908,0.00033425,0.00033425,0.00033425
150,2705.11,0.87654,0.86197,0.96279,0.81343,0.59469,0.61288,0.33068,1.96968,2.1539,1.9908,0.000328063,0.000328063,0.000328063
151,2723.06,0.88064,0.88071,0.98133,0.81343,0.59469,0.61288,0.33068,1.96968,2.1539,1.9908,0.000321875,0.000321875,0.000321875
152,2741.1,0.88806,0.87975,0.96077,0.82076,0.59306,0.61031,0.33848,1.94506,2.1542,1.96656,0.000315687,0.000315687,0.000315687
153,2759.11,0.93915,0.89196,0.97215,0.82076,0.59306,0.61031,0.33848,1.94506,2.1542,1.96656,0.0003095,0.0003095,0.0003095
154,2777.15,1.02907,0.89935,0.96528,0.82076,0.59306,0.61031,0.33848,1.94506,2.1542,1.96656,0.000303313,0.000303313,0.000303313
155,2795.52,0.93855,0.87785,0.97322,0.82076,0.59306,0.61031,0.33848,1.94506,2.1542,1.96656,0.000297125,0.000297125,0.000297125
156,2813.53,0.91823,0.84661,0.98365,0.80587,0.54167,0.59514,0.32496,1.96585,2.09464,1.99202,0.000290937,0.000290937,0.000290937
157,2831.45,0.94338,0.84955,0.95815,0.80587,0.54167,0.59514,0.32496,1.96585,2.09464,1.99202,0.00028475,0.00028475,0.00028475
158,2849.38,0.84984,0.8449,0.99073,0.80587,0.54167,0.59514,0.32496,1.96585,2.09464,1.99202,0.000278562,0.000278562,0.000278562
159,2867.3,0.94346,0.94912,0.98953,0.80587,0.54167,0.59514,0.32496,1.96585,2.09464,1.99202,0.000272375,0.000272375,0.000272375
160,2885.31,0.95774,0.90861,0.98987,0.53082,0.60196,0.60079,0.31954,2.02834,2.07408,2.02554,0.000266187,0.000266187,0.000266187
161,2903.39,0.88365,0.80858,0.98127,0.53082,0.60196,0.60079,0.31954,2.02834,2.07408,2.02554,0.00026,0.00026,0.00026
